LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1733303846.120205,310813.000,48630,3,AY,1,100,0.064
1733303846.160205,310853.000,48630,3,AY,1,100,0.083
1733303846.200205,310893.000,48630,3,AY,1,100,0.079
1733303846.240205,310933.000,48645,2,AY,1,100,0.075
1733303846.280205,310973.000,48645,2,AY,1,100,0.076
1733303846.315538,311008.333,48661,3,AY,1,100,0.082
1733303846.350872,311043.667,48661,3,AY,1,100,0.086
1733303846.386205,311079.000,48661,3,AY,1,100,0.079
1733303846.426205,311119.000,48682,3,AY,1,100,0.080
1733303846.466206,311159.000,48682,3,AY,1,100,0.074
1733303846.506206,311199.000,48682,3,AY,1,100,0.083
1733303846.546206,311239.000,48699,2,AY,1,100,0.064
1733303846.586206,311279.000,48699,2,AY,1,100,0.075
1733303846.626206,311319.000,48715,3,AY,1,100,0.098
1733303846.666206,311359.000,48715,3,AY,1,100,0.098
1733303846.706206,311399.000,48715,3,AY,1,100,0.067
1733303846.746207,311439.000,48731,2,AY,1,100,0.076
1733303846.786206,311479.000,48731,2,AY,1,100,0.076
1733303846.826207,311519.000,48747,3,AY,1,100,0.082
1733303846.866207,311559.000,48747,3,AY,1,100,0.080
1733303846.906207,311599.000,48747,3,AY,1,100,0.082
1733303846.946207,311639.000,48764,3,AY,1,100,0.078
1733303846.986207,311679.000,48764,3,AY,1,100,0.079
1733303847.026207,311719.000,48764,3,AY,1,100,0.086
1733303847.066207,311759.000,48781,2,AY,1,100,0.091
1733303847.106207,311799.000,48781,2,AY,1,100,0.072
1733303847.146208,311839.000,48796,3,AY,1,100,0.073
1733303847.186208,311879.000,48796,3,AY,1,100,0.085
1733303847.226208,311919.000,48796,3,AY,1,100,0.083
1733303847.266208,311959.000,48812,2,AY,1,100,0.085
1733303847.306208,311999.000,48812,2,AY,1,100,0.091
1733303847.346208,312039.000,48831,3,AY,1,100,0.090
1733303847.386208,312079.000,48831,3,AY,1,100,0.073
1733303847.426208,312119.000,48831,3,AY,1,100,0.078
1733303847.466208,312159.000,48848,2,AY,1,100,0.084
1733303847.506209,312199.000,48848,2,AY,1,100,0.078
1733303847.546209,312239.000,48863,3,AY,1,100,0.086
1733303847.586209,312279.000,48863,3,AY,1,100,0.080
1733303847.626209,312319.000,48863,3,AY,1,100,0.084
1733303847.666209,312359.000,48879,2,AY,1,100,0.067
1733303847.706209,312399.000,48879,2,AY,1,100,0.083
1733303847.746209,312439.000,48897,3,AY,1,100,0.070
1733303847.786209,312479.000,48897,3,AY,1,100,0.074
1733303847.826210,312519.000,48897,3,AY,1,100,0.077
1733303847.861876,312554.667,48913,3,AY,1,100,0.103
1733303847.897543,312590.333,48913,3,AY,1,100,0.090
1733303847.933210,312626.000,48913,3,AY,1,100,0.085
1733303847.973210,312666.000,48928,2,AY,1,100,0.082
1733303848.013210,312706.000,48928,2,AY,1,100,0.091
1733303848.053210,312746.000,48945,3,AY,1,100,0.083
1733303848.093210,312786.000,48945,3,AY,1,100,0.076
1733303848.133210,312826.000,48945,3,AY,1,100,0.082
1733303848.173211,312866.000,48964,2,AY,1,100,0.080
1733303848.213211,312906.000,48964,2,AY,1,100,0.081
1733303848.253211,312946.000,48980,3,AY,1,100,0.092
1733303848.293211,312986.000,48980,3,AY,1,100,0.086
1733303848.333211,313026.000,48980,3,AY,1,100,0.083
1733303848.373211,313066.000,48996,2,AY,1,100,0.081
1733303848.413211,313106.000,48996,2,AY,1,100,0.087
1733303848.453211,313146.000,49012,3,AY,1,100,0.080
1733303848.493212,313186.000,49012,3,AY,1,100,0.087
1733303848.533212,313226.000,49012,3,AY,1,100,0.083
1733303848.573212,313266.000,49029,3,AY,1,100,0.083
1733303848.613212,313306.000,49029,3,AY,1,100,0.078
1733303848.653212,313346.000,49029,3,AY,1,100,0.084
1733303848.693212,313386.000,49045,2,AY,1,100,0.082
1733303848.733212,313426.000,49045,2,AY,1,100,0.079
1733303848.773212,313466.000,49063,3,AY,1,100,0.079
1733303848.813212,313506.000,49063,3,AY,1,100,0.086
1733303848.853213,313546.000,49063,3,AY,1,100,0.088
1733303848.893213,313586.000,49077,2,AY,1,100,0.084
