LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1733303847.146208,311839.000,48797,3,AZ,1,100,0.889
1733303847.186208,311879.000,48797,3,AZ,1,100,0.869
1733303847.226208,311919.000,48797,3,AZ,1,100,0.857
1733303847.266208,311959.000,48813,2,AZ,1,100,0.867
1733303847.306208,311999.000,48813,2,AZ,1,100,0.867
1733303847.346208,312039.000,48832,3,AZ,1,100,0.881
1733303847.386208,312079.000,48832,3,AZ,1,100,0.873
1733303847.426208,312119.000,48832,3,AZ,1,100,0.884
1733303847.466208,312159.000,48849,2,AZ,1,100,0.866
1733303847.506209,312199.000,48849,2,AZ,1,100,0.871
1733303847.546209,312239.000,48864,3,AZ,1,100,0.869
1733303847.586209,312279.000,48864,3,AZ,1,100,0.867
1733303847.626209,312319.000,48864,3,AZ,1,100,0.871
1733303847.666209,312359.000,48880,2,AZ,1,100,0.883
1733303847.706209,312399.000,48880,2,AZ,1,100,0.856
1733303847.746209,312439.000,48898,3,AZ,1,100,0.878
1733303847.786209,312479.000,48898,3,AZ,1,100,0.878
1733303847.826210,312519.000,48898,3,AZ,1,100,0.867
1733303847.861876,312554.667,48914,3,AZ,1,100,0.869
1733303847.897543,312590.333,48914,3,AZ,1,100,0.878
1733303847.933210,312626.000,48914,3,AZ,1,100,0.870
1733303847.973210,312666.000,48929,2,AZ,1,100,0.876
1733303848.013210,312706.000,48929,2,AZ,1,100,0.863
1733303848.053210,312746.000,48946,3,AZ,1,100,0.861
1733303848.093210,312786.000,48946,3,AZ,1,100,0.884
1733303848.133210,312826.000,48946,3,AZ,1,100,0.864
1733303848.173211,312866.000,48965,2,AZ,1,100,0.870
1733303848.213211,312906.000,48965,2,AZ,1,100,0.876
1733303848.253211,312946.000,48981,3,AZ,1,100,0.861
1733303848.293211,312986.000,48981,3,AZ,1,100,0.860
1733303848.333211,313026.000,48981,3,AZ,1,100,0.873
1733303848.373211,313066.000,48997,2,AZ,1,100,0.871
1733303848.413211,313106.000,48997,2,AZ,1,100,0.867
1733303848.453211,313146.000,49013,3,AZ,1,100,0.894
1733303848.493212,313186.000,49013,3,AZ,1,100,0.854
1733303848.533212,313226.000,49013,3,AZ,1,100,0.870
1733303848.573212,313266.000,49030,3,AZ,1,100,0.875
1733303848.613212,313306.000,49030,3,AZ,1,100,0.860
1733303848.653212,313346.000,49030,3,AZ,1,100,0.875
1733303848.693212,313386.000,49046,2,AZ,1,100,0.863
1733303848.733212,313426.000,49046,2,AZ,1,100,0.875
1733303848.773212,313466.000,49064,3,AZ,1,100,0.884
1733303848.813212,313506.000,49064,3,AZ,1,100,0.865
1733303848.853213,313546.000,49064,3,AZ,1,100,0.870
1733303848.893213,313586.000,49078,2,AZ,1,100,0.871
1733303848.933213,313626.000,49078,2,AZ,1,100,0.869
1733303848.973213,313666.000,49097,3,AZ,1,100,0.878
