LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1733303845.760204,310453.000,48569,3,GZ,1,100,-0.244
1733303845.800204,310493.000,48569,3,GZ,1,100,-0.031
1733303845.840204,310533.000,48584,2,GZ,1,100,-0.214
1733303845.880204,310573.000,48584,2,GZ,1,100,-0.122
1733303845.920204,310613.000,48600,3,GZ,1,100,0.519
1733303845.960204,310653.000,48600,3,GZ,1,100,-0.305
1733303846.000204,310693.000,48600,3,GZ,1,100,-0.610
1733303846.040204,310733.000,48616,2,GZ,1,100,-0.031
1733303846.080204,310773.000,48616,2,GZ,1,100,0.732
1733303846.120205,310813.000,48634,3,GZ,1,100,0.153
1733303846.160205,310853.000,48634,3,GZ,1,100,0.122
1733303846.200205,310893.000,48634,3,GZ,1,100,0.336
1733303846.240205,310933.000,48649,2,GZ,1,100,-0.031
1733303846.280205,310973.000,48649,2,GZ,1,100,0.793
1733303846.315538,311008.333,48665,3,GZ,1,100,0.458
1733303846.350872,311043.667,48665,3,GZ,1,100,0.610
1733303846.386205,311079.000,48665,3,GZ,1,100,0.336
1733303846.426205,311119.000,48686,3,GZ,1,100,0.671
1733303846.466206,311159.000,48686,3,GZ,1,100,0.244
1733303846.506206,311199.000,48686,3,GZ,1,100,-0.824
1733303846.546206,311239.000,48703,2,GZ,1,100,0.458
1733303846.586206,311279.000,48703,2,GZ,1,100,1.343
1733303846.626206,311319.000,48719,3,GZ,1,100,-0.092
1733303846.666206,311359.000,48719,3,GZ,1,100,-0.183
1733303846.706206,311399.000,48719,3,GZ,1,100,0.061
1733303846.746207,311439.000,48735,2,GZ,1,100,-0.092
1733303846.786206,311479.000,48735,2,GZ,1,100,-0.580
1733303846.826207,311519.000,48751,3,GZ,1,100,-0.153
1733303846.866207,311559.000,48751,3,GZ,1,100,-0.732
1733303846.906207,311599.000,48751,3,GZ,1,100,-0.031
1733303846.946207,311639.000,48768,3,GZ,1,100,0.031
1733303846.986207,311679.000,48768,3,GZ,1,100,-0.702
1733303847.026207,311719.000,48768,3,GZ,1,100,0.244
1733303847.066207,311759.000,48785,2,GZ,1,100,0.000
1733303847.106207,311799.000,48785,2,GZ,1,100,-0.305
1733303847.146208,311839.000,48800,3,GZ,1,100,-0.946
1733303847.186208,311879.000,48800,3,GZ,1,100,-0.366
1733303847.226208,311919.000,48800,3,GZ,1,100,-0.519
1733303847.266208,311959.000,48816,2,GZ,1,100,-0.122
1733303847.306208,311999.000,48816,2,GZ,1,100,0.549
1733303847.346208,312039.000,48835,3,GZ,1,100,1.740
1733303847.386208,312079.000,48835,3,GZ,1,100,-0.549
1733303847.426208,312119.000,48835,3,GZ,1,100,-0.946
1733303847.466208,312159.000,48852,2,GZ,1,100,-0.092
1733303847.506209,312199.000,48852,2,GZ,1,100,0.610
1733303847.546209,312239.000,48867,3,GZ,1,100,-0.275
1733303847.586209,312279.000,48867,3,GZ,1,100,-0.427
1733303847.626209,312319.000,48867,3,GZ,1,100,0.275
1733303847.666209,312359.000,48883,2,GZ,1,100,0.092
