LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1733303867.117266,331810.000,52035,1,SF,1,100,6.4837
1733303867.517267,332210.000,52102,1,SF,1,100,6.4087
1733303867.784268,332477.000,52151,1,SF,1,100,6.3346
1733303868.117269,332810.000,52199,1,SF,1,100,6.2613
1733303868.517270,333210.000,52266,1,SF,1,100,6.1889
1733303868.784271,333477.000,52317,1,SF,1,100,6.1173
1733303869.117272,333810.000,52365,1,SF,1,100,6.0465
1733303869.450273,334143.000,52416,1,SF,1,100,5.9766
1733303869.850274,334543.000,52486,1,SF,1,100,5.9074
1733303870.183275,334876.000,52537,1,SF,1,100,5.8391
1733303870.517276,335210.000,52586,1,SF,1,100,5.7716
1733303870.783277,335476.000,52638,1,SF,1,100,5.7048
1733303871.117278,335810.000,52687,1,SF,1,100,5.6388
1733303871.517279,336210.000,52754,1,SF,1,100,5.5736
1733303871.783280,336476.000,52804,1,SF,1,100,5.5091
1733303872.116281,336809.000,52853,1,SF,1,100,5.4454
1733303872.516282,337209.000,52921,1,SF,1,100,5.3824
1733303872.783283,337476.000,52970,1,SF,1,100,5.3201
1733303873.116284,337809.000,53021,1,SF,1,100,5.2586
1733303873.450285,338143.000,53069,1,SF,1,100,5.1977
1733303873.850286,338543.000,53136,1,SF,1,100,5.1376
1733303874.116287,338809.000,53187,1,SF,1,100,5.0782
1733303874.449288,339142.000,53235,1,SF,1,100,5.0194
1733303874.849289,339542.000,53302,1,SF,1,100,4.9614
1733303875.116290,339809.000,53341,1,SF,1,100,4.9040
1733303875.516291,340209.000,53408,1,SF,1,100,4.8472
1733303875.783292,340476.000,53457,1,SF,1,100,4.7912
1733303876.116293,340809.000,53505,1,SF,1,100,4.7357
1733303876.516294,341209.000,53574,1,SF,1,100,4.6810
1733303876.783295,341476.000,53625,1,SF,1,100,4.6268
1733303877.116296,341809.000,53675,1,SF,1,100,4.5733
1733303877.449296,342142.000,53724,1,SF,1,100,4.5204
1733303877.849298,342542.000,53789,1,SF,1,100,4.4681
1733303878.116298,342809.000,53841,1,SF,1,100,4.4164
1733303878.449300,343142.000,53890,1,SF,1,100,4.3653
1733303878.849301,343542.000,53957,1,SF,1,100,4.3148
1733303879.116302,343809.000,54005,1,SF,1,100,4.2649
1733303879.449302,344142.000,54056,1,SF,1,100,4.2156
1733303879.782303,344475.000,54104,1,SF,1,100,4.1668
1733303880.116304,344809.000,54160,1,SF,1,100,4.1186
1733303880.516306,345209.000,54225,1,SF,1,100,4.0710
1733303880.782306,345475.000,54277,1,SF,1,100,4.0239
1733303881.116307,345809.000,54326,1,SF,1,100,3.9773
1733303881.449308,346142.000,54376,1,SF,1,100,3.9313
1733303881.849309,346542.000,54443,1,SF,1,100,3.8858
1733303882.115310,346808.000,54494,1,SF,1,100,3.8409
1733303882.449311,347142.000,54544,1,SF,1,100,3.7964
1733303882.849313,347542.000,54609,1,SF,1,100,3.7525
1733303883.182313,347875.000,54660,1,SF,1,100,3.7091
1733303883.449314,348142.000,54710,1,SF,1,100,3.6662
1733303883.782315,348475.000,54759,1,SF,1,100,3.6238
1733303884.182316,348875.000,54826,1,SF,1,100,3.5819
1733303884.449317,349142.000,54874,1,SF,1,100,3.5404
1733303884.782318,349475.000,54923,1,SF,1,100,3.4995
1733303885.115319,349808.000,54975,1,SF,1,100,3.4590
1733303885.448320,350141.000,55029,1,SF,1,100,3.4190
1733303885.848321,350541.000,55096,1,SF,1,100,3.3794
1733303886.115322,350808.000,55146,1,SF,1,100,3.3403
1733303886.448323,351141.000,55195,1,SF,1,100,3.3017
1733303886.782324,351475.000,55247,1,SF,1,100,3.2635
1733303887.182325,351875.000,55312,1,SF,1,100,3.2258
1733303887.448326,352141.000,55363,1,SF,1,100,3.1884
1733303887.781327,352474.000,55413,1,SF,1,100,3.1516
1733303888.181328,352874.000,55478,1,SF,1,100,3.1151
1733303888.515329,353208.000,55529,1,SF,1,100,3.0791
1733303888.781330,353474.000,55579,1,SF,1,100,3.0434
1733303889.115331,353808.000,55628,1,SF,1,100,3.0082
1733303889.515332,354208.000,55695,1,SF,1,100,2.9734
1733303889.781333,354474.000,55743,1,SF,1,100,2.9390
1733303890.115334,354808.000,55792,1,SF,1,100,2.9050
1733303890.448335,355141.000,55847,1,SF,1,100,2.8714
1733303890.781336,355474.000,55896,1,SF,1,100,2.8382
1733303891.181337,355874.000,55963,1,SF,1,100,2.8054
1733303891.448338,356141.000,56013,1,SF,1,100,2.7729
1733303891.781339,356474.000,56064,1,SF,1,100,2.7409
1733303892.181340,356874.000,56131,1,SF,1,100,2.7092
1733303892.514341,357207.000,56179,1,SF,1,100,2.6778
1733303892.781342,357474.000,56230,1,SF,1,100,2.6468
1733303893.114342,357807.000,56280,1,SF,1,100,2.6162
1733303893.514344,358207.000,56345,1,SF,1,100,2.5860
1733303893.781344,358474.000,56394,1,SF,1,100,2.5560
1733303894.114346,358807.000,56445,1,SF,1,100,2.5265
1733303894.514347,359207.000,56510,1,SF,1,100,2.4972
1733303894.848348,359541.000,56562,1,SF,1,100,2.4684
1733303895.114348,359807.000,56610,1,SF,1,100,2.4398
1733303895.514350,360207.000,56666,1,SF,1,100,2.4116
