LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1733303851.223220,315916.000,49442,4,EM,1,100,PS
1733303851.274220,315967.000,49473,4,EM,1,100,RS
1733303851.325220,316018.000,49473,4,EM,1,100,RB
1733303851.376220,316069.000,49473,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303851.427220,316120.000,49473,4,EM,1,100,PS
1733303851.477470,316170.250,49511,4,EM,1,100,RS
1733303851.527720,316220.500,49511,4,EM,1,100,RB
1733303851.577971,316270.750,49511,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303851.628221,316321.000,49511,4,EM,1,100,PS
1733303851.678471,316371.250,49542,4,EM,1,100,RS
1733303851.728721,316421.500,49542,4,EM,1,100,RB
1733303851.778971,316471.750,49542,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303851.829221,316522.000,49542,4,EM,1,100,PS
1733303851.879472,316572.250,49576,4,EM,1,100,RS
1733303851.929722,316622.500,49576,4,EM,1,100,RB
1733303851.979972,316672.750,49576,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303852.030222,316723.000,49576,4,EM,1,100,PS
1733303852.080722,316773.500,49608,4,EM,1,100,RS
1733303852.131222,316824.000,49608,4,EM,1,100,RB
1733303852.181722,316874.500,49608,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303852.232223,316925.000,49608,4,EM,1,100,PS
1733303852.282473,316975.250,49641,4,EM,1,100,RS
1733303852.332723,317025.500,49641,4,EM,1,100,RB
1733303852.382973,317075.750,49641,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303852.433223,317126.000,49641,4,EM,1,100,PS
1733303852.483473,317176.250,49675,4,EM,1,100,RS
1733303852.533723,317226.500,49675,4,EM,1,100,RB
1733303852.583974,317276.750,49675,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303852.634224,317327.000,49675,4,EM,1,100,PS
1733303852.684474,317377.250,49708,4,EM,1,100,RS
1733303852.734724,317427.500,49708,4,EM,1,100,RB
1733303852.784974,317477.750,49708,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303852.835224,317528.000,49708,4,EM,1,100,PS
1733303852.885474,317578.250,49740,4,EM,1,100,RS
1733303852.935724,317628.500,49740,4,EM,1,100,RB
1733303852.985975,317678.750,49740,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303853.036225,317729.000,49740,4,EM,1,100,PS
1733303853.087225,317780.000,49774,4,EM,1,100,RS
1733303853.138225,317831.000,49774,4,EM,1,100,RB
1733303853.189225,317882.000,49774,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303853.240226,317933.000,49774,4,EM,1,100,PS
1733303853.290226,317983.000,49807,4,EM,1,100,RS
1733303853.340226,318033.000,49807,4,EM,1,100,RB
1733303853.390226,318083.000,49807,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303853.440226,318133.000,49807,4,EM,1,100,PS
1733303853.490476,318183.250,49841,4,EM,1,100,RS
1733303853.540726,318233.500,49841,4,EM,1,100,RB
1733303853.590976,318283.750,49841,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303853.641227,318334.000,49841,4,EM,1,100,PS
1733303853.691477,318384.250,49872,4,EM,1,100,RS
1733303853.741727,318434.500,49872,4,EM,1,100,RB
1733303853.791977,318484.750,49872,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303853.842227,318535.000,49872,4,EM,1,100,PS
1733303853.892478,318585.250,49906,4,EM,1,100,RS
1733303853.942728,318635.500,49906,4,EM,1,100,RB
1733303853.992978,318685.750,49906,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303854.043228,318736.000,49906,4,EM,1,100,PS
1733303854.093478,318786.250,49941,4,EM,1,100,RS
1733303854.143728,318836.500,49941,4,EM,1,100,RB
1733303854.193978,318886.750,49941,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303854.244228,318937.000,49941,4,EM,1,100,PS
1733303854.316479,319009.250,49978,4,EM,1,100,RS
1733303854.388729,319081.500,49978,4,EM,1,100,RB
1733303854.460979,319153.750,49978,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303854.533229,319226.000,49978,4,EM,1,100,PS
1733303854.583479,319276.250,50012,4,EM,1,100,RS
1733303854.633729,319326.500,50012,4,EM,1,100,RB
1733303854.683980,319376.750,50012,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303854.734230,319427.000,50012,4,EM,1,100,PS
1733303854.784480,319477.250,50044,4,EM,1,100,RS
1733303854.834730,319527.500,50044,4,EM,1,100,RB
1733303854.884980,319577.750,50044,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303854.935230,319628.000,50044,4,EM,1,100,PS
1733303854.985481,319678.250,50077,4,EM,1,100,RS
1733303855.035731,319728.500,50077,4,EM,1,100,RB
1733303855.085981,319778.750,50077,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303855.136231,319829.000,50077,4,EM,1,100,PS
1733303855.186481,319879.250,50112,4,EM,1,100,RS
1733303855.236731,319929.500,50112,4,EM,1,100,RB
1733303855.286982,319979.750,50112,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303855.337232,320030.000,50112,4,EM,1,100,PS
1733303855.387482,320080.250,50144,4,EM,1,100,RS
1733303855.437732,320130.500,50144,4,EM,1,100,RB
1733303855.487982,320180.750,50144,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303855.538232,320231.000,50144,4,EM,1,100,PS
1733303855.588482,320281.250,50178,4,EM,1,100,RS
1733303855.638732,320331.500,50178,4,EM,1,100,RB
1733303855.688983,320381.750,50178,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303855.739233,320432.000,50178,4,EM,1,100,PS
1733303855.789483,320482.250,50210,4,EM,1,100,RS
1733303855.839733,320532.500,50210,4,EM,1,100,RB
1733303855.889983,320582.750,50210,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303855.940233,320633.000,50210,4,EM,1,100,PS
1733303855.990484,320683.250,50245,4,EM,1,100,RS
1733303856.040734,320733.500,50245,4,EM,1,100,RB
1733303856.090984,320783.750,50245,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303856.141234,320834.000,50245,4,EM,1,100,PS
