LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1733303938.996977,403689.500,64161,2,AK,1,100,63326
1733303941.559485,406252.000,64161,2,AK,1,100,RD
1733303941.562485,406255.000,64163,2,AK,1,100,63326
1733303941.565485,406258.000,64163,2,AK,1,100,RD
1733303941.610485,406303.000,64166,2,AK,1,100,64164
1733303941.655485,406348.000,64166,2,AK,1,100,RD
1733303944.161493,408854.000,64996,2,AK,1,100,64164
1733303946.667500,411360.000,64996,2,AK,1,100,RD
1733303946.678500,411371.000,64999,2,AK,1,100,64997
1733303946.689500,411382.000,64999,2,AK,1,100,RD
1733303949.233507,413926.000,281,2,AK,1,100,64997
1733303951.777515,416470.000,281,2,AK,1,100,RD
1733303951.785015,416477.500,284,2,AK,1,100,282
1733303951.792515,416485.000,284,2,AK,1,100,RD
1733303954.353522,419046.000,1131,2,AK,1,100,282
1733303956.914530,421607.000,1131,2,AK,1,100,RD
1733303959.468537,424161.000,1964,2,AK,1,100,1132
1733303962.022545,426715.000,1964,2,AK,1,100,RD
1733303962.024045,426716.500,1966,2,AK,1,100,1132
1733303962.025545,426718.000,1966,2,AK,1,100,RD
1733303962.031045,426723.500,1969,2,AK,1,100,1967
1733303962.036545,426729.000,1969,2,AK,1,100,RD
1733303964.583052,429275.500,2800,2,AK,1,100,1967
1733303967.129560,431822.000,2800,2,AK,1,100,RD
1733303967.135560,431828.000,2803,2,AK,1,100,2801
1733303967.141560,431834.000,2803,2,AK,1,100,RD
1733303969.689567,434382.000,3636,2,AK,1,100,2801
1733303972.237575,436930.000,3636,2,AK,1,100,RD
1733303972.247075,436939.500,3639,2,AK,1,100,3637
1733303972.256575,436949.000,3639,2,AK,1,100,RD
