LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1733303844.747200,309440.000,48390,3,PR,1,100,157792
1733303844.787201,309480.000,48390,3,PR,1,100,157795
1733303844.827201,309520.000,48406,2,PR,1,100,157819
1733303844.867201,309560.000,48406,2,PR,1,100,157831
1733303844.907201,309600.000,48425,3,PR,1,100,157842
1733303844.947201,309640.000,48425,3,PR,1,100,157848
1733303844.987201,309680.000,48425,3,PR,1,100,157804
1733303845.027201,309720.000,48441,2,PR,1,100,157742
1733303845.067201,309760.000,48441,2,PR,1,100,157702
1733303845.107202,309800.000,48457,3,PR,1,100,157669
1733303845.147202,309840.000,48457,3,PR,1,100,157659
1733303845.187202,309880.000,48457,3,PR,1,100,157652
1733303845.227202,309920.000,48473,2,PR,1,100,157654
1733303845.267202,309960.000,48473,2,PR,1,100,157636
1733303845.307202,310000.000,48490,3,PR,1,100,157653
1733303845.347202,310040.000,48490,3,PR,1,100,157625
1733303845.387203,310080.000,48490,3,PR,1,100,157632
1733303845.427202,310120.000,48507,3,PR,1,100,157639
1733303845.467203,310160.000,48507,3,PR,1,100,157648
1733303845.507203,310200.000,48507,3,PR,1,100,157645
1733303845.547203,310240.000,48524,2,PR,1,100,157666
1733303845.587203,310280.000,48524,2,PR,1,100,157667
1733303845.627203,310320.000,48540,3,PR,1,100,157686
1733303845.667203,310360.000,48540,3,PR,1,100,157704
1733303845.707203,310400.000,48540,3,PR,1,100,157679
1733303845.747204,310440.000,48558,2,PR,1,100,157689
1733303845.787204,310480.000,48558,2,PR,1,100,157694
1733303845.833704,310526.500,48574,2,PR,1,100,157675
1733303845.880204,310573.000,48574,2,PR,1,100,157604
1733303845.920204,310613.000,48590,3,PR,1,100,157555
1733303845.960204,310653.000,48590,3,PR,1,100,157534
1733303846.000204,310693.000,48590,3,PR,1,100,157519
1733303846.040204,310733.000,48605,2,PR,1,100,157509
1733303846.080204,310773.000,48605,2,PR,1,100,157506
1733303846.120205,310813.000,48623,3,PR,1,100,157539
1733303846.160205,310853.000,48623,3,PR,1,100,157492
1733303846.200205,310893.000,48623,3,PR,1,100,157476
1733303846.240205,310933.000,48639,2,PR,1,100,157474
1733303846.280205,310973.000,48639,2,PR,1,100,157469
1733303846.320205,311013.000,48655,3,PR,1,100,157468
1733303846.360205,311053.000,48655,3,PR,1,100,157475
1733303846.400205,311093.000,48655,3,PR,1,100,157469
1733303846.440206,311133.000,48675,3,PR,1,100,157482
1733303846.480206,311173.000,48675,3,PR,1,100,157484
1733303846.520206,311213.000,48675,3,PR,1,100,157483
1733303846.560206,311253.000,48692,2,PR,1,100,157487
1733303846.600206,311293.000,48692,2,PR,1,100,157508
1733303846.640206,311333.000,48708,3,PR,1,100,157510
1733303846.680206,311373.000,48708,3,PR,1,100,157516
1733303846.720206,311413.000,48708,3,PR,1,100,157515
1733303846.760206,311453.000,48726,2,PR,1,100,157500
1733303846.800207,311493.000,48726,2,PR,1,100,157425
1733303846.840207,311533.000,48740,3,PR,1,100,157365
1733303846.880207,311573.000,48740,3,PR,1,100,157326
1733303846.920207,311613.000,48740,3,PR,1,100,157330
1733303846.960207,311653.000,48757,2,PR,1,100,157313
1733303847.000207,311693.000,48757,2,PR,1,100,157298
1733303847.040207,311733.000,48774,3,PR,1,100,157293
1733303847.080207,311773.000,48774,3,PR,1,100,157286
1733303847.120208,311813.000,48774,3,PR,1,100,157275
1733303847.160208,311853.000,48791,2,PR,1,100,157260
1733303847.200208,311893.000,48791,2,PR,1,100,157259
1733303847.240208,311933.000,48805,3,PR,1,100,157259
1733303847.280208,311973.000,48805,3,PR,1,100,157282
1733303847.320208,312013.000,48805,3,PR,1,100,157281
1733303847.360208,312053.000,48824,2,PR,1,100,157294
1733303847.400208,312093.000,48824,2,PR,1,100,157286
1733303847.440208,312133.000,48841,3,PR,1,100,157270
1733303847.480209,312173.000,48841,3,PR,1,100,157265
1733303847.520209,312213.000,48841,3,PR,1,100,157287
1733303847.560209,312253.000,48858,2,PR,1,100,157276
1733303847.600209,312293.000,48858,2,PR,1,100,157198
1733303847.640209,312333.000,48872,3,PR,1,100,157147
1733303847.680209,312373.000,48872,3,PR,1,100,157107
1733303847.720209,312413.000,48872,3,PR,1,100,157094
1733303847.760209,312453.000,48890,3,PR,1,100,157104
1733303847.800210,312493.000,48890,3,PR,1,100,157092
1733303847.840210,312533.000,48890,3,PR,1,100,157075
1733303847.880210,312573.000,48906,2,PR,1,100,157080
1733303847.920210,312613.000,48906,2,PR,1,100,157064
1733303847.960210,312653.000,48923,3,PR,1,100,157059
1733303848.000210,312693.000,48923,3,PR,1,100,157069
1733303848.040210,312733.000,48923,3,PR,1,100,157065
1733303848.080210,312773.000,48938,2,PR,1,100,157064
1733303848.120210,312813.000,48938,2,PR,1,100,157080
1733303848.160211,312853.000,48957,3,PR,1,100,157073
1733303848.200211,312893.000,48957,3,PR,1,100,157118
1733303848.240211,312933.000,48957,3,PR,1,100,157140
1733303848.280211,312973.000,48973,2,PR,1,100,157135
1733303848.320211,313013.000,48973,2,PR,1,100,157132
1733303848.360211,313053.000,48990,3,PR,1,100,157074
1733303848.400211,313093.000,48990,3,PR,1,100,156993
1733303848.440211,313133.000,48990,3,PR,1,100,156979
1733303848.480211,313173.000,49006,2,PR,1,100,156975
1733303848.520212,313213.000,49006,2,PR,1,100,156959
1733303848.560212,313253.000,49022,3,PR,1,100,156958
1733303848.600212,313293.000,49022,3,PR,1,100,156971
1733303848.640212,313333.000,49022,3,PR,1,100,156947
1733303848.680212,313373.000,49038,2,PR,1,100,156936
1733303848.720212,313413.000,49038,2,PR,1,100,156915
1733303848.760212,313453.000,49056,3,PR,1,100,156914
1733303848.800212,313493.000,49056,3,PR,1,100,156916
1733303848.840213,313533.000,49056,3,PR,1,100,156932
1733303848.880213,313573.000,49072,2,PR,1,100,156946
1733303848.920213,313613.000,49072,2,PR,1,100,156972
1733303848.960213,313653.000,49089,3,PR,1,100,156988
1733303849.000213,313693.000,49089,3,PR,1,100,156971
1733303849.040213,313733.000,49089,3,PR,1,100,156996
1733303849.080213,313773.000,49106,3,PR,1,100,156998
1733303849.120213,313813.000,49106,3,PR,1,100,156996
1733303849.160213,313853.000,49106,3,PR,1,100,156982
1733303849.200214,313893.000,49123,2,PR,1,100,156973
1733303849.240214,313933.000,49123,2,PR,1,100,156919
1733303849.280214,313973.000,49145,4,PR,1,100,156859
1733303849.320214,314013.000,49145,4,PR,1,100,156852
