LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1733303866.444264,331137.000,51938,1,T1,1,100,32.732
1733303866.577265,331270.000,51957,1,T1,1,100,32.742
1733303866.710265,331403.000,51973,1,T1,1,100,32.640
1733303866.843266,331536.000,52007,1,T1,1,100,32.667
1733303866.977266,331670.000,52024,1,T1,1,100,32.572
1733303867.110266,331803.000,52041,1,T1,1,100,32.779
1733303867.243267,331936.000,52072,1,T1,1,100,32.798
1733303867.377267,332070.000,52089,1,T1,1,100,32.629
1733303867.510267,332203.000,52108,1,T1,1,100,32.769
1733303867.643268,332336.000,52139,1,T1,1,100,32.652
1733303867.777268,332470.000,52157,1,T1,1,100,32.637
1733303867.910269,332603.000,52173,1,T1,1,100,32.736
1733303868.043269,332736.000,52205,1,T1,1,100,32.780
1733303868.177269,332870.000,52222,1,T1,1,100,32.727
1733303868.310270,333003.000,52238,1,T1,1,100,32.669
1733303868.443270,333136.000,52272,1,T1,1,100,32.715
1733303868.577271,333270.000,52289,1,T1,1,100,32.770
1733303868.710271,333403.000,52305,1,T1,1,100,32.688
1733303868.843271,333536.000,52323,1,T1,1,100,32.794
1733303868.977272,333670.000,52354,1,T1,1,100,32.769
1733303869.110272,333803.000,52371,1,T1,1,100,32.616
1733303869.243273,333936.000,52390,1,T1,1,100,32.657
1733303869.376273,334069.000,52422,1,T1,1,100,32.710
1733303869.510273,334203.000,52438,1,T1,1,100,32.591
1733303869.643274,334336.000,52455,1,T1,1,100,32.717
1733303869.776774,334469.500,52492,2,T1,1,100,32.665
1733303869.910275,334603.000,52492,2,T1,1,100,32.678
1733303870.043275,334736.000,52526,1,T1,1,100,32.790
1733303870.176275,334869.000,52543,1,T1,1,100,32.732
1733303870.310276,335003.000,52560,1,T1,1,100,32.636
1733303870.443276,335136.000,52592,1,T1,1,100,32.701
1733303870.576276,335269.000,52608,1,T1,1,100,32.729
1733303870.710277,335403.000,52627,1,T1,1,100,32.741
1733303870.843277,335536.000,52659,1,T1,1,100,32.817
1733303870.976278,335669.000,52675,1,T1,1,100,32.743
1733303871.110278,335803.000,52693,1,T1,1,100,32.641
1733303871.243278,335936.000,52724,1,T1,1,100,32.632
1733303871.376279,336069.000,52740,1,T1,1,100,32.663
1733303871.510279,336203.000,52760,1,T1,1,100,32.748
1733303871.643280,336336.000,52793,1,T1,1,100,32.749
1733303871.776280,336469.000,52810,1,T1,1,100,32.856
1733303871.910280,336603.000,52827,1,T1,1,100,32.831
1733303872.043281,336736.000,52859,1,T1,1,100,32.785
1733303872.176281,336869.000,52875,1,T1,1,100,32.730
1733303872.310282,337003.000,52894,1,T1,1,100,32.635
1733303872.443282,337136.000,52910,1,T1,1,100,32.700
1733303872.576282,337269.000,52942,1,T1,1,100,32.764
1733303872.709283,337402.000,52959,1,T1,1,100,32.791
1733303872.843283,337536.000,52976,1,T1,1,100,32.768
