LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1733303847.760209,312453.000,48891,3,PG,1,100,12346
1733303847.800210,312493.000,48891,3,PG,1,100,12356
1733303847.840210,312533.000,48891,3,PG,1,100,12354
1733303847.880210,312573.000,48907,2,PG,1,100,12339
1733303847.920210,312613.000,48907,2,PG,1,100,12335
1733303847.960210,312653.000,48924,3,PG,1,100,12345
1733303848.000210,312693.000,48924,3,PG,1,100,12339
1733303848.040210,312733.000,48924,3,PG,1,100,12335
1733303848.080210,312773.000,48939,2,PG,1,100,12353
1733303848.120210,312813.000,48939,2,PG,1,100,12348
1733303848.160211,312853.000,48958,3,PG,1,100,12365
1733303848.200211,312893.000,48958,3,PG,1,100,12367
1733303848.240211,312933.000,48958,3,PG,1,100,12380
1733303848.280211,312973.000,48974,2,PG,1,100,12401
1733303848.320211,313013.000,48974,2,PG,1,100,12402
1733303848.360211,313053.000,48991,3,PG,1,100,12381
1733303848.400211,313093.000,48991,3,PG,1,100,12343
1733303848.440211,313133.000,48991,3,PG,1,100,12320
1733303848.480211,313173.000,49007,2,PG,1,100,12303
1733303848.520212,313213.000,49007,2,PG,1,100,12298
1733303848.560212,313253.000,49023,3,PG,1,100,12282
1733303848.600212,313293.000,49023,3,PG,1,100,12263
1733303848.640212,313333.000,49023,3,PG,1,100,12288
1733303848.680212,313373.000,49039,2,PG,1,100,12258
1733303848.720212,313413.000,49039,2,PG,1,100,12254
1733303848.760212,313453.000,49057,3,PG,1,100,12266
1733303848.800212,313493.000,49057,3,PG,1,100,12264
1733303848.840213,313533.000,49057,3,PG,1,100,12273
1733303848.880213,313573.000,49073,2,PG,1,100,12282
1733303848.920213,313613.000,49073,2,PG,1,100,12301
1733303848.960213,313653.000,49090,3,PG,1,100,12291
1733303849.000213,313693.000,49090,3,PG,1,100,12315
1733303849.040213,313733.000,49090,3,PG,1,100,12330
1733303849.080213,313773.000,49107,3,PG,1,100,12323
1733303849.120213,313813.000,49107,3,PG,1,100,12346
1733303849.160213,313853.000,49107,3,PG,1,100,12348
1733303849.200214,313893.000,49124,2,PG,1,100,12373
1733303849.240214,313933.000,49124,2,PG,1,100,12353
1733303849.280214,313973.000,49146,4,PG,1,100,12296
1733303849.320214,314013.000,49146,4,PG,1,100,12256
1733303849.360214,314053.000,49146,4,PG,1,100,12249
1733303849.400214,314093.000,49146,4,PG,1,100,12239
1733303849.440214,314133.000,49163,2,PG,1,100,12222
1733303849.480214,314173.000,49163,2,PG,1,100,12222
1733303849.524548,314217.333,49180,3,PG,1,100,12207
1733303849.568881,314261.667,49180,3,PG,1,100,12214
1733303849.613215,314306.000,49180,3,PG,1,100,12212
1733303849.653215,314346.000,49194,2,PG,1,100,12213
1733303849.693215,314386.000,49194,2,PG,1,100,12216
1733303849.733215,314426.000,49214,3,PG,1,100,12224
1733303849.773215,314466.000,49214,3,PG,1,100,12222
1733303849.813215,314506.000,49214,3,PG,1,100,12236
1733303849.853215,314546.000,49230,2,PG,1,100,12241
1733303849.893216,314586.000,49230,2,PG,1,100,12248
1733303849.933216,314626.000,49247,3,PG,1,100,12254
1733303849.973216,314666.000,49247,3,PG,1,100,12270
1733303850.013216,314706.000,49247,3,PG,1,100,12277
1733303850.053216,314746.000,49262,2,PG,1,100,12300
1733303850.093216,314786.000,49262,2,PG,1,100,12300
1733303850.133216,314826.000,49279,3,PG,1,100,12285
1733303850.173217,314866.000,49279,3,PG,1,100,12233
1733303850.213217,314906.000,49279,3,PG,1,100,12194
1733303850.253217,314946.000,49295,2,PG,1,100,12168
1733303850.293217,314986.000,49295,2,PG,1,100,12168
1733303850.333217,315026.000,49312,3,PG,1,100,12157
1733303850.373217,315066.000,49312,3,PG,1,100,12169
1733303850.413217,315106.000,49312,3,PG,1,100,12145
1733303850.453217,315146.000,49327,3,PG,1,100,12144
1733303850.493217,315186.000,49327,3,PG,1,100,12129
1733303850.533217,315226.000,49327,3,PG,1,100,12140
1733303850.573218,315266.000,49344,2,PG,1,100,12139
1733303850.613218,315306.000,49344,2,PG,1,100,12145
1733303850.653218,315346.000,49362,3,PG,1,100,12150
1733303850.693218,315386.000,49362,3,PG,1,100,12159
1733303850.733218,315426.000,49362,3,PG,1,100,12171
1733303850.773218,315466.000,49380,2,PG,1,100,12180
1733303850.813218,315506.000,49380,2,PG,1,100,12204
1733303850.853219,315546.000,49394,3,PG,1,100,12235
1733303850.893219,315586.000,49394,3,PG,1,100,12236
1733303850.933219,315626.000,49394,3,PG,1,100,12207
1733303850.973219,315666.000,49411,2,PG,1,100,12164
1733303851.013219,315706.000,49411,2,PG,1,100,12126
1733303851.053219,315746.000,49428,3,PG,1,100,12091
1733303851.093219,315786.000,49428,3,PG,1,100,12087
1733303851.133219,315826.000,49428,3,PG,1,100,12074
1733303851.173219,315866.000,49445,2,PG,1,100,12062
1733303851.213220,315906.000,49445,2,PG,1,100,12061
1733303851.253220,315946.000,49459,3,PG,1,100,12064
1733303851.293220,315986.000,49459,3,PG,1,100,12044
1733303851.333220,316026.000,49459,3,PG,1,100,12051
1733303851.373220,316066.000,49476,2,PG,1,100,12039
1733303851.413220,316106.000,49476,2,PG,1,100,12043
1733303851.453220,316146.000,49497,3,PG,1,100,12050
1733303851.493220,316186.000,49497,3,PG,1,100,12079
1733303851.533221,316226.000,49497,3,PG,1,100,12091
1733303851.573220,316266.000,49514,2,PG,1,100,12114
1733303851.613221,316306.000,49514,2,PG,1,100,12102
1733303851.653221,316346.000,49529,3,PG,1,100,12112
1733303851.693221,316386.000,49529,3,PG,1,100,12137
1733303851.733221,316426.000,49529,3,PG,1,100,12149
1733303851.773221,316466.000,49546,2,PG,1,100,12152
1733303851.813221,316506.000,49546,2,PG,1,100,12182
1733303851.853221,316546.000,49562,3,PG,1,100,12188
1733303851.893222,316586.000,49562,3,PG,1,100,12161
1733303851.933222,316626.000,49562,3,PG,1,100,12120
1733303851.973222,316666.000,49579,3,PG,1,100,12078
1733303852.013222,316706.000,49579,3,PG,1,100,12048
1733303852.053222,316746.000,49579,3,PG,1,100,12048
1733303852.093222,316786.000,49596,2,PG,1,100,12028
1733303852.133222,316826.000,49596,2,PG,1,100,12025
1733303852.173222,316866.000,49611,3,PG,1,100,12019
1733303852.213223,316906.000,49611,3,PG,1,100,12040
1733303852.253222,316946.000,49611,3,PG,1,100,12035
1733303852.293223,316986.000,49627,2,PG,1,100,12032
1733303852.333223,317026.000,49627,2,PG,1,100,12019
1733303852.373223,317066.000,49647,3,PG,1,100,12035
1733303852.413223,317106.000,49647,3,PG,1,100,12046
1733303852.453223,317146.000,49647,3,PG,1,100,12044
1733303852.493223,317186.000,49663,2,PG,1,100,12082
1733303852.533223,317226.000,49663,2,PG,1,100,12083
1733303852.573224,317266.000,49678,3,PG,1,100,12097
1733303852.613224,317306.000,49678,3,PG,1,100,12117
1733303852.653224,317346.000,49678,3,PG,1,100,12130
1733303852.693224,317386.000,49694,2,PG,1,100,12138
1733303852.733224,317426.000,49694,2,PG,1,100,12150
1733303852.773224,317466.000,49712,3,PG,1,100,12169
1733303852.813224,317506.000,49712,3,PG,1,100,12128
1733303852.853224,317546.000,49712,3,PG,1,100,12090
1733303852.893224,317586.000,49728,2,PG,1,100,12082
1733303852.933225,317626.000,49728,2,PG,1,100,12046
1733303852.973225,317666.000,49743,3,PG,1,100,12037
1733303853.013225,317706.000,49743,3,PG,1,100,12030
1733303853.053225,317746.000,49743,3,PG,1,100,12023
