LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1733303855.118231,319811.000,50085,2,EL,1,100,26403.000000
1733303855.185231,319878.000,50101,1,EL,1,100,26403.000000
1733303855.251731,319944.500,50117,2,EL,1,100,26403.000000
1733303855.318232,320011.000,50117,2,EL,1,100,26403.000000
1733303855.385232,320078.000,50132,1,EL,1,100,26403.000000
1733303855.451732,320144.500,50150,2,EL,1,100,26403.000000
1733303855.518232,320211.000,50150,2,EL,1,100,26403.000000
1733303855.584732,320277.500,50166,2,EL,1,100,26403.199219
1733303855.651232,320344.000,50166,2,EL,1,100,26403.000000
1733303855.718233,320411.000,50183,1,EL,1,100,26403.199219
1733303855.784733,320477.500,50198,2,EL,1,100,26403.400391
1733303855.851233,320544.000,50198,2,EL,1,100,26403.199219
1733303855.918233,320611.000,50215,1,EL,1,100,26403.199219
1733303855.984734,320677.500,50233,2,EL,1,100,26403.000000
1733303856.051234,320744.000,50233,2,EL,1,100,26403.000000
1733303856.118234,320811.000,50251,1,EL,1,100,26403.000000
1733303856.184734,320877.500,50265,2,EL,1,100,26403.000000
1733303856.251234,320944.000,50265,2,EL,1,100,26403.000000
1733303856.318234,321011.000,50282,1,EL,1,100,26403.000000
1733303856.384735,321077.500,50299,2,EL,1,100,26403.000000
1733303856.451235,321144.000,50299,2,EL,1,100,26403.000000
1733303856.518235,321211.000,50318,1,EL,1,100,26403.000000
1733303856.584735,321277.500,50332,2,EL,1,100,26403.000000
1733303856.651236,321344.000,50332,2,EL,1,100,26403.000000
1733303856.718236,321411.000,50351,1,EL,1,100,26403.000000
1733303856.784736,321477.500,50368,2,EL,1,100,26403.000000
1733303856.851236,321544.000,50368,2,EL,1,100,26403.000000
1733303856.918236,321611.000,50385,1,EL,1,100,26403.000000
1733303856.984736,321677.500,50399,2,EL,1,100,26403.000000
1733303857.051237,321744.000,50399,2,EL,1,100,26403.000000
1733303857.118237,321811.000,50417,1,EL,1,100,26402.800781
1733303857.184737,321877.500,50433,2,EL,1,100,26402.800781
1733303857.251237,321944.000,50433,2,EL,1,100,26402.800781
1733303857.318238,322011.000,50450,1,EL,1,100,26402.599609
1733303857.384738,322077.500,50466,2,EL,1,100,26403.000000
1733303857.451238,322144.000,50466,2,EL,1,100,26403.000000
1733303857.518238,322211.000,50482,1,EL,1,100,26403.000000
1733303857.584738,322277.500,50500,2,EL,1,100,26403.000000
1733303857.651238,322344.000,50500,2,EL,1,100,26402.800781
1733303857.718239,322411.000,50518,2,EL,1,100,26402.800781
1733303857.785239,322478.000,50518,2,EL,1,100,26402.800781
1733303857.851239,322544.000,50534,1,EL,1,100,26402.800781
1733303857.917739,322610.500,50549,2,EL,1,100,26403.000000
1733303857.984239,322677.000,50549,2,EL,1,100,26402.400391
1733303858.051239,322744.000,50565,1,EL,1,100,26403.000000
1733303858.117740,322810.500,50583,2,EL,1,100,26403.000000
1733303858.184240,322877.000,50583,2,EL,1,100,26403.000000
1733303858.251240,322944.000,50599,1,EL,1,100,26402.599609
1733303858.317740,323010.500,50614,2,EL,1,100,26402.599609
1733303858.384241,323077.000,50614,2,EL,1,100,26402.599609
1733303858.451241,323144.000,50633,1,EL,1,100,26402.599609
1733303858.517741,323210.500,50650,2,EL,1,100,26402.599609
1733303858.584241,323277.000,50650,2,EL,1,100,26402.599609
1733303858.651241,323344.000,50666,1,EL,1,100,26402.599609
1733303858.717741,323410.500,50682,2,EL,1,100,26402.599609
1733303858.784242,323477.000,50682,2,EL,1,100,26402.599609
1733303858.851242,323544.000,50698,1,EL,1,100,26402.599609
1733303858.917742,323610.500,50715,2,EL,1,100,26403.000000
1733303858.984242,323677.000,50715,2,EL,1,100,26403.000000
1733303859.051243,323744.000,50731,1,EL,1,100,26403.000000
1733303859.117743,323810.500,50747,2,EL,1,100,26403.000000
1733303859.184243,323877.000,50747,2,EL,1,100,26403.000000
1733303859.251243,323944.000,50765,1,EL,1,100,26403.000000
1733303859.317743,324010.500,50782,2,EL,1,100,26403.000000
1733303859.384243,324077.000,50782,2,EL,1,100,26403.000000
1733303859.451244,324144.000,50799,1,EL,1,100,26403.000000
1733303859.517910,324210.667,50820,3,EL,1,100,26403.000000
1733303859.584578,324277.333,50820,3,EL,1,100,26402.800781
1733303859.651244,324344.000,50820,3,EL,1,100,26403.000000
