LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1733303854.726230,319419.000,50019,1,TH,1,100,30.246
1733303854.860230,319553.000,50051,1,TH,1,100,30.142
1733303854.993231,319686.000,50067,1,TH,1,100,30.141
1733303855.126231,319819.000,50087,1,TH,1,100,30.131
1733303855.259231,319952.000,50118,1,TH,1,100,30.138
1733303855.393232,320086.000,50134,1,TH,1,100,30.087
1733303855.526232,320219.000,50152,1,TH,1,100,30.087
1733303855.659233,320352.000,50168,1,TH,1,100,30.243
1733303855.793233,320486.000,50200,1,TH,1,100,30.243
1733303855.926233,320619.000,50217,1,TH,1,100,30.148
1733303856.059234,320752.000,50235,1,TH,1,100,30.148
1733303856.193234,320886.000,50267,1,TH,1,100,30.182
1733303856.326235,321019.000,50284,1,TH,1,100,30.189
1733303856.459235,321152.000,50301,1,TH,1,100,30.253
1733303856.593235,321286.000,50334,1,TH,1,100,30.253
1733303856.726236,321419.000,50353,1,TH,1,100,30.250
1733303856.859236,321552.000,50370,1,TH,1,100,30.250
1733303856.993237,321686.000,50401,1,TH,1,100,30.178
1733303857.126237,321819.000,50419,1,TH,1,100,30.178
1733303857.259237,321952.000,50435,1,TH,1,100,30.276
1733303857.393238,322086.000,50467,1,TH,1,100,30.276
1733303857.526238,322219.000,50484,1,TH,1,100,30.147
1733303857.659238,322352.000,50502,1,TH,1,100,30.154
1733303857.793239,322486.000,50520,1,TH,1,100,30.221
1733303857.926239,322619.000,50551,1,TH,1,100,30.221
1733303858.059240,322752.000,50567,1,TH,1,100,30.187
1733303858.192240,322885.000,50585,1,TH,1,100,30.187
1733303858.326240,323019.000,50616,1,TH,1,100,30.157
1733303858.459241,323152.000,50635,1,TH,1,100,30.157
1733303858.592241,323285.000,50652,1,TH,1,100,30.184
1733303858.726242,323419.000,50684,1,TH,1,100,30.184
1733303858.859242,323552.000,50700,1,TH,1,100,30.220
1733303858.993242,323686.000,50717,1,TH,1,100,30.228
1733303859.126243,323819.000,50749,1,TH,1,100,30.225
1733303859.259243,323952.000,50767,1,TH,1,100,30.225
1733303859.393244,324086.000,50784,1,TH,1,100,30.163
1733303859.526244,324219.000,50822,2,TH,1,100,30.163
1733303859.659244,324352.000,50822,2,TH,1,100,30.214
1733303859.792245,324485.000,50854,1,TH,1,100,30.214
1733303859.926245,324619.000,50870,1,TH,1,100,30.266
1733303860.059246,324752.000,50889,1,TH,1,100,30.273
1733303860.192246,324885.000,50921,1,TH,1,100,30.217
1733303860.326246,325019.000,50937,1,TH,1,100,30.217
1733303860.459247,325152.000,50955,1,TH,1,100,30.288
1733303860.592247,325285.000,50986,1,TH,1,100,30.288
1733303860.726248,325419.000,51002,1,TH,1,100,30.275
