LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1733303845.519203,310212.000,48526,2,EA,1,100,0.030204
1733303845.586203,310279.000,48526,2,EA,1,100,0.030204
1733303845.652203,310345.000,48542,1,EA,1,100,0.030204
1733303845.719203,310412.000,48560,2,EA,1,100,0.030204
1733303845.786204,310479.000,48560,2,EA,1,100,0.030204
1733303845.852204,310545.000,48576,1,EA,1,100,0.030204
1733303845.919204,310612.000,48592,2,EA,1,100,0.030204
1733303845.986204,310679.000,48592,2,EA,1,100,0.030204
1733303846.052204,310745.000,48607,1,EA,1,100,0.030204
1733303846.119205,310812.000,48625,2,EA,1,100,0.030205
1733303846.186205,310879.000,48625,2,EA,1,100,0.030205
1733303846.253205,310946.000,48641,1,EA,1,100,0.030205
1733303846.319705,311012.500,48657,2,EA,1,100,0.030205
1733303846.386205,311079.000,48657,2,EA,1,100,0.030205
1733303846.452706,311145.500,48677,2,EA,1,100,0.030205
1733303846.519206,311212.000,48677,2,EA,1,100,0.030205
1733303846.586206,311279.000,48694,1,EA,1,100,0.030205
1733303846.652706,311345.500,48710,2,EA,1,100,0.030205
1733303846.719206,311412.000,48710,2,EA,1,100,0.030205
1733303846.786206,311479.000,48728,1,EA,1,100,0.030205
1733303846.852707,311545.500,48742,2,EA,1,100,0.030205
1733303846.919207,311612.000,48742,2,EA,1,100,0.030205
1733303846.986207,311679.000,48759,1,EA,1,100,0.030205
1733303847.052707,311745.500,48776,2,EA,1,100,0.030205
1733303847.119208,311812.000,48776,2,EA,1,100,0.030204
1733303847.186208,311879.000,48793,1,EA,1,100,0.030204
1733303847.252708,311945.500,48807,2,EA,1,100,0.030204
1733303847.319208,312012.000,48807,2,EA,1,100,0.030205
1733303847.386208,312079.000,48826,1,EA,1,100,0.030205
1733303847.452708,312145.500,48843,2,EA,1,100,0.030205
1733303847.519209,312212.000,48843,2,EA,1,100,0.030205
1733303847.586209,312279.000,48860,1,EA,1,100,0.030205
1733303847.652709,312345.500,48874,2,EA,1,100,0.030205
1733303847.719209,312412.000,48874,2,EA,1,100,0.030205
1733303847.786209,312479.000,48892,1,EA,1,100,0.030205
1733303847.852710,312545.500,48908,2,EA,1,100,0.030205
1733303847.919210,312612.000,48908,2,EA,1,100,0.030205
1733303847.986210,312679.000,48925,1,EA,1,100,0.030205
1733303848.052710,312745.500,48940,2,EA,1,100,0.030205
1733303848.119210,312812.000,48940,2,EA,1,100,0.030205
1733303848.186211,312879.000,48959,1,EA,1,100,0.030205
1733303848.252711,312945.500,48975,2,EA,1,100,0.030205
1733303848.319211,313012.000,48975,2,EA,1,100,0.030205
1733303848.385211,313078.000,48992,1,EA,1,100,0.030205
1733303848.452211,313145.000,49008,2,EA,1,100,0.030205
1733303848.519212,313212.000,49008,2,EA,1,100,0.030205
1733303848.585712,313278.500,49024,2,EA,1,100,0.030205
1733303848.652212,313345.000,49024,2,EA,1,100,0.030205
1733303848.719212,313412.000,49040,1,EA,1,100,0.030204
1733303848.785712,313478.500,49058,2,EA,1,100,0.030205
1733303848.852213,313545.000,49058,2,EA,1,100,0.030205
1733303848.919213,313612.000,49074,1,EA,1,100,0.030205
1733303848.985713,313678.500,49091,2,EA,1,100,0.030205
1733303849.052213,313745.000,49091,2,EA,1,100,0.030205
1733303849.119213,313812.000,49108,1,EA,1,100,0.030205
1733303849.185714,313878.500,49125,2,EA,1,100,0.030205
1733303849.252214,313945.000,49125,2,EA,1,100,0.030205
1733303849.318714,314011.500,49147,2,EA,1,100,0.030204
1733303849.385214,314078.000,49147,2,EA,1,100,0.030204
1733303849.452214,314145.000,49164,2,EA,1,100,0.030204
1733303849.519215,314212.000,49164,2,EA,1,100,0.030204
1733303849.585215,314278.000,49181,1,EA,1,100,0.030204
1733303849.652215,314345.000,49195,2,EA,1,100,0.030204
1733303849.719215,314412.000,49195,2,EA,1,100,0.030204
1733303849.785215,314478.000,49215,1,EA,1,100,0.030204
1733303849.852216,314545.000,49231,2,EA,1,100,0.030204
1733303849.919216,314612.000,49231,2,EA,1,100,0.030204
1733303849.985216,314678.000,49248,1,EA,1,100,0.030204
1733303850.052216,314745.000,49263,2,EA,1,100,0.030204
1733303850.119216,314812.000,49263,2,EA,1,100,0.030204
1733303850.185216,314878.000,49280,1,EA,1,100,0.030204
1733303850.252217,314945.000,49296,2,EA,1,100,0.030204
1733303850.319217,315012.000,49296,2,EA,1,100,0.030204
1733303850.385217,315078.000,49313,1,EA,1,100,0.030204
1733303850.452217,315145.000,49328,2,EA,1,100,0.030204
1733303850.519217,315212.000,49328,2,EA,1,100,0.030204
1733303850.585218,315278.000,49345,1,EA,1,100,0.030204
1733303850.652218,315345.000,49363,2,EA,1,100,0.030204
1733303850.719218,315412.000,49363,2,EA,1,100,0.030204
1733303850.785218,315478.000,49381,1,EA,1,100,0.030204
1733303850.852218,315545.000,49395,2,EA,1,100,0.030204
1733303850.919219,315612.000,49395,2,EA,1,100,0.030204
